Ticker,Date/Time,Open,High,Low,Close,Volume
CTD,3/5/2019 0:00,92.53,93.77,92.04,92.04,187880
CTD,3/6/2019 0:00,92.04,93.08,90.94,91.7,185040
CTD,3/7/2019 0:00,91.7,93.77,90.94,93.42,237200
CTD,3/8/2019 0:00,93.42,99.9,92.04,97.28,427970
CTD,3/11/2019 0:00,97.9,97.9,95.15,97.21,152130
CTD,3/12/2019 0:00,97.21,98.52,96.66,97.83,298250
CTD,3/13/2019 0:00,97.9,98.18,97.56,97.9,158550
CTD,3/14/2019 0:00,97.9,99.83,97.9,99.42,176420
CTD,3/15/2019 0:00,99.49,99.49,97.9,97.9,139980
CTD,3/18/2019 0:00,97.9,98.39,97.35,97.7,95970
CTD,3/19/2019 0:00,97.9,98.94,97.56,98.11,203850
CTD,3/20/2019 0:00,98.25,98.59,96.52,97.83,85310
CTD,3/21/2019 0:00,97.77,98.45,97.21,97.9,194380
CTD,3/22/2019 0:00,97.9,98.52,96.52,98.52,114810
CTD,3/25/2019 0:00,97.21,97.42,95.15,95.15,88450
CTD,3/26/2019 0:00,94.46,96.8,94.46,96.8,79900
CTD,3/27/2019 0:00,96.87,97.9,96.8,97.9,42890
CTD,3/28/2019 0:00,97.21,100.66,97.21,100.66,212520
CTD,3/29/2019 0:00,100.66,100.8,98.59,98.87,89830
CTD,4/1/2019 0:00,97.21,98.04,97.21,97.83,65930
CTD,4/2/2019 0:00,97.9,98.59,97.15,98.25,110590
CTD,4/3/2019 0:00,98.25,98.25,96.59,98.18,57200
CTD,4/4/2019 0:00,97.21,98.39,97.15,97.15,52470
CTD,4/5/2019 0:00,96.8,98.18,96.8,97.01,132940
CTD,4/8/2019 0:00,97.83,97.9,96.87,97.01,42980
CTD,4/9/2019 0:00,96.52,96.59,90.25,90.25,651760
CTD,4/10/2019 0:00,83.98,88.25,83.98,83.98,698410
CTD,4/11/2019 0:00,83.84,87.56,82.53,83.91,990750
CTD,4/12/2019 0:00,84.11,87.15,84.11,86.94,270900
CTD,4/16/2019 0:00,86.18,86.18,84.25,85.49,182590
CTD,4/17/2019 0:00,84.94,85.42,83.42,83.84,240130
CTD,4/18/2019 0:00,83.42,83.84,82.74,83.15,264910
